"time slot","WiFi bit rate (Mbps)","Cellular bit rate (Mbps)"
1,0.16968202539660052,4.73664
2,0.3859184160940697,4.48128
3,1.7811687167315702,5.0717323636363645
4,2.7992121708295,5.006468923076922
5,3.4305657312234215,5.289234962962961
6,2.9412770135037136,5.546993509433962
7,2.776565485873958,5.113119346938774
8,2.326523332405079,5.711895703703702
9,2.9936444358810674,5.577955018867923
10,3.5331607515460073,6.162288
11,4.83224371275889,6.444152
12,2.424476943660225,5.060571076923076
13,2.4335509894977414,5.0296476734693885
14,2.4066570340022753,3.946064313725491
15,2.7953028084992875,3.7005741886792456
16,2.9974522386458844,2.891239384615386
17,2.7060915897775253,4.70848
18,2.8405974215029137,4.550416979591836
19,4.143929043034318,6.70998482051282
20,4.226752053326535,7.92435512195122
21,3.5817789483101623,5.135615999999998
22,3.7331548646681427,5.789540923076923
23,4.839976956884494,5.626131911111113
24,4.836845988438974,3.823527563636362
25,4.838142733555599,3.8481789387755083
26,4.8394987157264024,3.381641309090909
27,4.827771813292012,4.578778536585365
28,4.38192757062816,1.769681454545454
29,4.776994605376712,2.1251011764705887
30,4.836618619010751,2.928570810810811
31,4.838407851768773,3.3103665454545457
32,4.8370110329855995,3.7714950697674414
33,4.838922626509893,3.2760000000000002
34,4.838769064605269,3.6924860377358497
35,4.839965495835035,3.8763670588235297
36,4.393036765397227,3.7614285714285702
37,4.756627145631573,3.8266606153846143
38,4.838509970014509,3.9799544615384614
39,4.835436600615597,3.6788385882352954
40,4.839866886900409,3.1291996981132084
41,4.839925959476979,3.867278769230767
42,4.830608090929608,2.4751825454545457
43,4.838599942221543,3.854591999999999
44,4.387577963412245,3.3131954716981125
45,4.7901620525798005,4.633014857142858
46,4.839659375138672,6.3817309090909085
47,4.839259158786685,4.452595636363636
48,4.840683276231625,3.5392308148148146
49,4.838542651839498,3.3129215999999997
50,4.840082954934403,4.247999999999999
51,4.839260081700065,4.35098112
52,4.377386244248081,3.357483471698114
53,4.768618941641218,3.3024078367346936
54,4.846237363526209,4.122573283018868
55,4.839777742343666,3.5969781960784317
56,4.840066493394263,3.5880861538461533
57,4.838422538690828,2.2002380799999997
58,4.8399744185265785,3.3882009600000003
59,4.836841991225889,3.060310943396226
60,4.388330624209306,3.311826823529412
61,4.780315617481036,2.812881454545454
62,4.838599096313416,1.9741716078431357
63,4.840110801346003,3.3916918518518515
64,4.835554182891345,3.7746431999999994
65,4.840049570432343,3.6754161568627453
66,4.839667143049332,4.86367476923077
67,4.838108980740545,3.181653333333333
68,4.380458462760344,3.9266742857142867
69,4.775809224814431,4.426616470588234
70,4.83838455280309,5.163414545454545
71,4.839767589763794,3.78384
72,4.839998802256612,3.431143849056605
73,4.838612323274328,2.621183999999999
74,4.836658049701939,3.210624627450981
75,4.839736978455045,3.9054646153846164
76,4.323945786846105,4.049248
77,4.776317456011835,3.896264784313725
78,4.8400336475716825,3.404310588235293
79,4.839670065636036,3.7173173333333334
80,4.838539037592434,5.852426666666666
81,4.815303789010228,5.1886523076923075
82,4.837683305136901,4.588080000000001
83,4.822594447667919,5.06582153846154
84,4.081437529310795,5.3121877333333325
85,2.8993665273869107,4.688873411764705
86,2.6074394951086775,4.795746461538462
87,4.104341207926659,3.87332676923077
88,1.8207313483457166,4.788677333333333
89,2.7636940057858714,4.838542769230771
90,3.651756010301382,4.386444307692307
91,3.071600738833803,2.8386925714285725
92,2.499569037189934,3.1501568000000004
93,2.0770760057938196,4.532918857142858
94,3.4224981516552884,5.051735999999999
95,2.8724798031603243,4.466339137254903
96,2.6352700096157182,5.448288711111111
97,3.2215383545462597,5.18182641509434
98,3.369417511944505,5.968183215686274
99,3.5176296231617075,6.1637610212765965
100,2.418049811733229,4.787578880000001
101,0.8754626495630532,4.735879999999999
102,4.500975937682302,5.427397818181818
103,4.504076999205417,4.937725490196077
104,4.7148839698964355,4.543519288888889
105,4.7481021682614495,4.1947607843137265
